text,label_str,source,priority,label,weight
"It is the last smartphone running Maemo 5 , which is to be replaced with MeeGo , a joint project between Nokia , Intel and the open source community .",neutral,75agree,2,1,0.7
"Tiimari Latvian representative Ineta Zaharova said that the company earned LVL 122,000 in 2005 profit , which is 20 times more that in 2004 .",positive,allagree,1,2,1.0
Net sales in 2007 are expected to be 10 % up on 2006 .,positive,allagree,1,2,1.0
"Our solutions are fully Arabized , and our message is that we want to become the IT partner of choice for businesses in the Near-East region .",neutral,75agree,2,1,0.7
Finnish component supplier Componenta Corporation ( OMX Helsinki : CTH1V ) reported on Tuesday ( 15 July ) an operating profit of EUR46 .2 m on net sales of EUR386 .0 m for the financial period January-June 2008 .,neutral,75agree,2,1,0.7
Rimi supermarket is the key customer in Magistral center .,neutral,75agree,2,1,0.7
"The company expects its net sales for the whole of 2007 to be EUR 950mn-1 ,000 mn .",neutral,allagree,1,1,1.0
Yvonne Jones is owner of Chameleon Interiors .,neutral,allagree,1,1,1.0
"As part of its new strategy , Finnish Biohit is planning to incorporate its diagnostics business into a separate limited company .",neutral,75agree,2,1,0.7
The transaction is planned to be financed with a EUR40m market-based loan granted by Standard Chartered Bank Hong Kong .,neutral,allagree,1,1,1.0
"The port operator , however , favors retaining the port fees in 2010 , citing the owner , the governemtn of Estonia , commiting the port to pay EEK 400mn ( EUR 25.56 mn USD 36.44 mn ) in dividends to the state in 2009 and another EEK 300mn in 2010 .",neutral,75agree,2,1,0.7
Finland-based Stockmann Group has closed seven franchising sports stores Nike in Russia .,negative,75agree,2,0,0.7
"( ADPnews ) - May 4 , 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspond",negative,allagree,1,0,1.0
"When this information was released on 5 September 2008 , Nokia 's American Depositary shares fell by 8 % .",negative,75agree,2,0,0.7
The transaction is expected to be finalized by Dec 2009 .,neutral,allagree,1,1,1.0
"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",neutral,allagree,1,1,1.0
The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .,neutral,allagree,1,1,1.0
"Finnish retailer Stockmann has won approval from the board of Swedish rival Lindex for a public tender offer with the aim of expanding the companies ' presence in Russia and other CEE countries , Stockmann said Monday .",positive,75agree,2,2,0.7
"Under the agreement , Larox will transfer 10 employees within engineering and documentation related to delivery projects and product maintenance in Finland to Etteplan as of January 1 , 2007 .",neutral,allagree,1,1,1.0
"As part of the agreement , Aspocomp will also give Meadville a 10 pct slice of a subsidiary operating in Oulu , Finland .",neutral,allagree,1,1,1.0
"The acquisition was financed with $ 2.56 billion of debt arranged by Goldman , Sachs & Co. .",neutral,allagree,1,1,1.0
"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",positive,allagree,1,2,1.0
"Tampere Science Parks is a Finnish company that owns , leases and builds office properties and it specialises in facilities for technology-oriented businesses .",neutral,allagree,1,1,1.0
"Besides , Pit-Produkt will enter the new segments .",neutral,75agree,2,1,0.7
"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",positive,allagree,1,2,1.0
"After the transaction , M-real will own 30 % in Metsa-Botnia and UPM -- 17 % .",neutral,allagree,1,1,1.0
"Den Bosch-based TomTom is Europe 's largest maker of automotive navigation devices , while Cayman Islands-based Garmin is larger in the U.S. and overall .",neutral,allagree,1,1,1.0
"The broker started UPM-Kymmene , Stora Enso and Sappi with ` equal-weight ' recommendations and Holmen and Norske Skog with ` underweight ' ratings .",neutral,allagree,1,1,1.0
"The order comprises four ball mills , which will be organized in two different streams for treating ore in the Pilanesberg platinum mine .",neutral,allagree,1,1,1.0
"`` Lining stone sales were also good in the early autumn , and order books are strong to the end of the year .",positive,allagree,1,2,1.0
The fair value of investment properties was EUR 2 251.0 ( 1 281.4 ) million .,neutral,75agree,2,1,0.7
Runway Visual Range is a calculated assessment of the distance that a pilot can see down a runway .,neutral,allagree,1,1,1.0
And U.S. energy executives say high steel prices are threatening energy exploration .,negative,75agree,2,0,0.7
"With five different game modes , co-op tournaments , 4 player split-screen and multiplayer modes , players can have as much fun as they would if they were actually fishing .",neutral,allagree,1,1,1.0
"( ADP News ) - Feb 12 , 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 .",negative,allagree,1,0,1.0
Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,allagree,1,1,1.0
"Revenue grew by 2 percent to  x20ac 580 million $ 743 million , from  x20ac 569 million .",positive,allagree,1,2,1.0
The contract is for next year .,neutral,allagree,1,1,1.0
The business area 's net sales were slightly over 2m in 2006 .,neutral,allagree,1,1,1.0
"Raute , headquartered in Nastola , Finland , is a technology company serving the wood products industry worldwide .",neutral,allagree,1,1,1.0
"At this stage , a maximum of 60,000 Tulikivi Series A shares will be acquired , representing about 0.16 per cent of the company - s shares outstanding .",neutral,75agree,2,1,0.7
"In his current position , Manty has worked since 1996 .",neutral,allagree,1,1,1.0
"In a note to clients published , the Dutch broker described the company 's third quarter results as ` soft ' , although it also noted that Elcoteq retained its guidance , dealers said .",neutral,75agree,2,1,0.7
"The company 's consolidated operating profit amounted to EUR 15.86 mn , up from EUR 4.14 mn year-on-year .",positive,allagree,1,2,1.0
"The board machine , which will have a wire width of 6.25 m and a design speed of 900 m-min , will produce close to 1,400 tonnes of folding boxboard per day .",neutral,allagree,1,1,1.0
Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 .,negative,allagree,1,0,1.0
The energy shot is packed in a 100-millilitre bag with a screw cap .,neutral,allagree,1,1,1.0
"Cramo Plc is a service company specialising in construction machinery and equipment rental and rental-related services , as well as rental and sale of modular space .",neutral,allagree,1,1,1.0
"The broker highlights Cargotec as its preferred stock in the sector , as it is a pure play on global cargo and container handling , and it expects it to play an active role in further consolidating the industry .",positive,75agree,2,2,0.7
"The first phase of the logistics complex envisages the completion of some 70,000 sq m of logistics premises and the gatehouse building in November 2008 .",neutral,allagree,1,1,1.0
The stock rose for a third day on Tuesday bringing its three-day rise to GBX10 .50 or 1.8 % .,positive,allagree,1,2,1.0
"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .",positive,75agree,2,2,0.7
Activities range from the development of natural resources to the retailed marketing of finished products .,neutral,allagree,1,1,1.0
"The company also appointed Leif Rosen head of the Special Plate unit which includes the quarto plate units in Degerfors , Sweden , and New Castle , USA , the unit in Willich , Germany , as well as Pressplate and Prefab in Avesta and Plate Service Centre Nordic in Degerfors .",neutral,allagree,1,1,1.0
"According to a report by Neomarkka , Kuitu Finland 's customers are interested in buying the company 's products when it restarts production .",positive,75agree,2,2,0.7
"According to the prosecutor , the share transactions were carried out after HK Ruokatalo had proceeded in the negotiations concerning the acquisition of Swedish Meats .",neutral,75agree,2,1,0.7
"`` Of course , we are in talks with all those coming up with new projects that involve material handling , '' Konecranes President and CEO Pekka Lundmark said , when asked whether it was talking to Reliance Industries for supplying equipment to its upcoming refinery in Jamnagar .",neutral,75agree,2,1,0.7
"Founded in 2000 , BioView automates laboratory tests , especially diagnostic tests for cancer .",neutral,allagree,1,1,1.0
"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",negative,allagree,1,0,1.0
"Operating loss of the Pulp & Paper Machinery unit was over EUR 3mn in September 2007 - August 2008 , compared to a profit of EUR 3.7 mn a year earlier .",negative,allagree,1,0,1.0
"The company is involved in the the sale of financial products including insurance , mortgages , car and personal loans , financial brokerage and equipment finance leasing .",neutral,allagree,1,1,1.0
The transaction included also the transfer of the lease agreement concerning manufacturing premises and employment agreements related to these operations .,neutral,allagree,1,1,1.0
"However , sales volumes in the food industry are expected to remain at relatively good levels in Finland and in Scandinavia , Atria said .",positive,allagree,1,2,1.0
Neste Oil Corporation Refining Operation Asset Summary Report Summary Neste Oil Corporation Refining Operation Assets Summary Report is an essential source for company data and information .,neutral,allagree,1,1,1.0
The GyPSii mobile social networking application is available in China with both Chinese and English language support .,neutral,75agree,2,1,0.7
The shares shall be acquired according to the Rules of NASDAQ OMX Helsinki and otherwise according to the rules related to acquisition of the company 's own shares .,neutral,allagree,1,1,1.0
"- Inge Larsen (CFO), 29,045 shares , representing 0.50 % of the share capital .",neutral,allagree,1,1,1.0
Kershaw takes up the position with immediate effect from her previous role as marketing manager of Sankey Home & Garden Products .,neutral,75agree,2,1,0.7
EuroChem CFO Andrey Ilyin said : `` This facility marks another important step for EuroChem in securing the long-term financing necessary for our potash and other strategic projects '' .,positive,75agree,2,2,0.7
"Because the application can be considered as a hacking application , it is classified by F-Secure as riskware .",neutral,75agree,2,1,0.7
Combining this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now proved to be a winning combination .,positive,allagree,1,2,1.0
Cash Flow from Operations for the most recent quarter also reached a eight year low .,negative,allagree,1,0,1.0
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",negative,allagree,1,0,1.0
"Net sales rose by 25.5 % year-on-year to EUR59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",positive,allagree,1,2,1.0
Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .,negative,allagree,1,0,1.0
Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago .,negative,allagree,1,0,1.0
`` People who enjoy mobile games are often the same customers who enjoy experimenting with new mobile services and content .,neutral,75agree,2,1,0.7
"So far Norwegian Norske Skog has reduced the staff levels by 1,000 people and plans to reduce production by 200,000 tons in 2008 , while Finnish-Swedish Stora Enso is to cut staff by 1,700 people and production by 500,000 tons .",negative,75agree,2,0,0.7
"The move will be carried out by transferring HKScan 's production-related property , plant , equipment , as well as its holdings in subsidiaries and associate companies in the country to HKScan Finland .",neutral,allagree,1,1,1.0
Sanoma announced the Stock Option Scheme 2008 on 19 December 2008 .,neutral,allagree,1,1,1.0
Pharmaceuticals - Czech Republic This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Czech Republic .,neutral,75agree,2,1,0.7
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,75agree,2,1,0.7
"Both operating profit and net sales for the nine-month period increased , respectively by 26.6 % and 3.4 % , as compared to the corresponding period in 2006 .",positive,allagree,1,2,1.0
25 March 2011 - Finnish electronics contract manufacturer Scanfil Oyj HEL : SCF1V said today its plan to merge wholly owned Scanfil EMS Group with Ojala-Yhtyma Oy has hit a snag as shareholders of the domestic rival rejected the deal .,negative,75agree,2,0,0.7
"However , the offering will probably not be made at the current valuation , which partly derives from the deal in which the company was merged into a stock market shell .",neutral,allagree,1,1,1.0
"Amer , which bought Salomon from adidas in October , said the job cuts are aimed at boosting competitiveness .",neutral,75agree,2,1,0.7
Atria said its offer would give the Swedish company continued ownership and control of its slaughtering and cutting operations .,neutral,allagree,1,1,1.0
"The Finnish investment company Sponda is conducting negotiations to acquire the business center Dukat Palace-2 located in the center of Moscow , from London & Regional Properties .",neutral,75agree,2,1,0.7
"( ADP News ) - Oct 29 , 2008 - Finnish lifting equipment maker Konecranes Oyj ( OMX : KCR1V ) said today that its net profit rose to EUR 116.6 million ( USD 149.1 m ) in the first nine months of 2008 from EUR 73.6 million for the s",positive,allagree,1,2,1.0
"The company will pay a dividend of EUR 0.50 per share , a total of EUR 14mn .",neutral,75agree,2,1,0.7
"The Finnish business delegation includes representatives from over 20 companies that include Nokia Corp , Finnfund , Outokumpu Oyj , OKO Bank , Alteams Oy and Cargotec Corp. .",neutral,75agree,2,1,0.7
"In addition to verification of an identity and digital signatures , new state-approved Mobile ID enables to cast votes in elections as well .",neutral,allagree,1,1,1.0
"The contractor of the shopping center , China State Construction Engineering Corporation , has previously built e.g. airports , hotels and factories for large international customers in different parts of the world .",neutral,allagree,1,1,1.0
The groups 's turnover for the full fiscal year is expected to show a slight increase from the previous fiscal year .,positive,75agree,2,2,0.7
"Among the Scandinavian companies present in St. Petersburg , is also named the Swedish concern NCC , which implements projects in the field of asphalt production , road and housing construction ( project Swedish Krona ) .",neutral,allagree,1,1,1.0
"When the negotiations were started , Neste Oil anticipated that 450 people would be affected .",neutral,75agree,2,1,0.7
"To see more of New Haven Register , or to subscribe to the newspaper .",neutral,allagree,1,1,1.0
"`` This vessel order will help Aspo secure the long-term competitiveness of its fleet , both in terms of technology and pricing .",positive,allagree,1,2,1.0
"The contract value amounts to about EUR11m , the company added .",neutral,allagree,1,1,1.0
"After the acquisition , Basware 's preliminary pro forma net sales for 2005 amount to EUR 52.6 mn , and preliminary pro forma operating profit amounts to EUR 7.1 mn .",neutral,75agree,2,1,0.7
"However , the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009 .",negative,allagree,1,0,1.0
Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 .,positive,allagree,1,2,1.0
"Last July , the group said it intended to relocate warehouse and office space in Loudeac and Saint Marcel to Morvillars , in the east of France , where it already operates a hook manufacturing and distribution unit .",neutral,allagree,1,1,1.0
"FL Group 's private equity division manages all operating companies , including Icelandair Group , FL Travel Group , Bluebird and Sterling .",neutral,allagree,1,1,1.0
The bank 's leasing arm Nordea Liising ended the year with a profit of 4.4 million euros .,neutral,allagree,1,1,1.0
"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .",positive,allagree,1,2,1.0
"There has been some recovery of the base metals prices and increased demand for metals in China , however .",positive,75agree,2,2,0.7
"Alpina Sports is a Lebanon , New Hampshire USA based distributor of e.g. Alpina ski shoes and skis , Exel ski poles , Start ski waxes and now also Peltonen cross-country skis .",neutral,allagree,1,1,1.0
The company expects sales revenue of RMB8 .0 billion in 2009 .,neutral,75agree,2,1,0.7
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,negative,allagree,1,0,1.0
"India 's trade with Russia currently stands at four billion dollars , growing 9.6 per cent in fiscal 2007 .",positive,allagree,1,2,1.0
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,allagree,1,0,1.0
"shock phase ' , consumers have once again started to plan and implement building projects .",neutral,75agree,2,1,0.7
"( ADPnews ) - Dec 30 , 2009 - Finnish investment group Neomarkka Oyj ( HEL : NEMBV ) said today that it will furlough employee in its unit Reka Cables Ltd for less than 90 days , starting in January 2010 .",neutral,75agree,2,1,0.7
"According to CapMan Plc 's Corporate Governance , the majority of the committees ' members shall be independent of the Company .",neutral,allagree,1,1,1.0
The total capital of funds managed by the bank decreased by 28 % to EUR 284mn by the end of September 2008 .,negative,allagree,1,0,1.0
"After the restructuring , UPM 's average paper machine capacity in Europe will be 320,000 tons ( 350,000 short tons ) in coated magazine paper and 420,000 tons ( 460,000 short tons ) in coated fine paper .",neutral,allagree,1,1,1.0
"It projected revenue of $ 2.2 billion to $ 2.3 billion , slightly higher than analyst estimates of $ 2.19 billion .",positive,75agree,2,2,0.7
News Corp. 's MySpace.com Web site will display submissions for the expanded Broadband Emmy Awards as part of an effort to identify aspiring video artists .,neutral,75agree,2,1,0.7
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,allagree,1,1,1.0
RSA 's shares closed at 156.9 p at the time of going to press .,neutral,allagree,1,1,1.0
"At this growth rate , paying off the national debt will be extremely painful .",negative,allagree,1,0,1.0
"The segments through which the company operates are Frozen Food business , Seafoods , Vegetable Oil business , Grain Trading and Other business operations .",neutral,allagree,1,1,1.0
"A Flurry Analytics spokesperson said that , as it was only measuring Windows Phone 7 data for some weeks , the firm double-checked the data to make sure the 66 per cent rise was not an aberration .",neutral,75agree,2,1,0.7
"As a result , the company currently anticipates net sales to increase and the operating result to be positive .",positive,allagree,1,2,1.0
Uponor maintains its full-year guidance for 2010 .,neutral,allagree,1,1,1.0
"The address location is provided to a local controller , preferably by wireless transmission , which then uses the address location to access the appliance control module .",neutral,allagree,1,1,1.0
The bridge is part of the highway 14 development project .,neutral,75agree,2,1,0.7
Operating profit rose to EUR2 .4 m from EUR1 .6 m year earlier .,positive,allagree,1,2,1.0
The plant would use palm oil certified by the Roundtable on Sustainable Palm Oil ( RSPO ) .,neutral,75agree,2,1,0.7
The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .,neutral,allagree,1,1,1.0
Market data and analytics are derived from primary and secondary research .,neutral,allagree,1,1,1.0
The company operates power plants in the Tyumen and Chelyabinsk regions and in the Khanty-Mansi Autonomous District .,neutral,allagree,1,1,1.0
The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,neutral,75agree,2,1,0.7
"Sales climbed 19.2 pct to 1.002 bln eur , surpassing the 953 mln eur consensus figure .",positive,allagree,1,2,1.0
"The Process Products orders are for the installation of separation-filtration equipment at three natural gas pipeline projects in China , South America , and Saudi Arabia .",neutral,75agree,2,1,0.7
ZAO YIT Moskovia builds housing in Moscow and its surrounding cities .,neutral,allagree,1,1,1.0
"In the Baltic countries , sales fell by 40.2 % , and in Russia , by 23.2 % in terms of euros , and by 10.7 % in terms of local currency .",negative,allagree,1,0,1.0
The production is to be liquidated before June 2009 and 325 employees loose their jobs .,negative,75agree,2,0,0.7
The company is presently examining whether the project would be financially feasible .,neutral,allagree,1,1,1.0
BioTie North-American licensing partner Somaxon Pharmaceuticals started a phase II-III clinical study in patients suffering from pathological gambling and a pilot phase II study in nicotine addiction smoking cessation .,neutral,allagree,1,1,1.0
"In Finland , snow storms brought trees down on power lines , cutting off electricity for some 2,000 households .",negative,75agree,2,0,0.7
"The sale will be finalized in September or October , the company said .",neutral,allagree,1,1,1.0
"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",positive,allagree,1,2,1.0
Net profit in the same period in 2006 was (  x20ac ) 172 million .,neutral,75agree,2,1,0.7
Approval by shareholders of Cencorp in accordance with Finnish law .,neutral,75agree,2,1,0.7
The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 .,negative,allagree,1,0,1.0
"Elcoteq 's global service offering covers the entire lifecycle of products , from product development to after-market services .",neutral,75agree,2,1,0.7
"She will succeed Krister Kylas , who has decided to leave TeliaSonera .",neutral,allagree,1,1,1.0
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,allagree,1,1,1.0
"Incap Contract Manufacturing Services Pvt Ltd , a subsidiary of Incap Corporation of Finland , plans to double its revenues by 2007-2008 .",positive,75agree,2,2,0.7
Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier .,negative,allagree,1,0,1.0
"Mr Ashley , deputy executive chairman of Sports Direct , sold a 43pc stake in the company for more than pounds 900m at the time of the float .",neutral,allagree,1,1,1.0
"Key shareholders of Finnish IT services provider TietoEnator Oyj on Friday rejected a hostile EUR1 .08 billion $ 1.67 billion offer from buyout shop Nordic Capital , giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA .",positive,allagree,1,2,1.0
Another firm Air Liquide was exempted because it left the market in 1998 .,neutral,allagree,1,1,1.0
"The Division also includes joint sales , marketing and controlling functions for these units .",neutral,allagree,1,1,1.0
Connectivity Services include outsourced Scan and Capture which transfers paper invoices into electronic format and Basware Business Transactions Service enables the customer to receive and send invoices in an electronic format .,neutral,allagree,1,1,1.0
"The two companies will also partner in further developing Raiso 's cholesterol lowering brand , Benecol .",positive,75agree,2,2,0.7
"Net sales of Kyro 's main business area , Glaston Technologies , a manufacturer of glass processing machines , decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 .",negative,allagree,1,0,1.0
"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",positive,allagree,1,2,1.0
"International sales rose by 59.8 % to EUR 1,244.4 mn .",positive,allagree,1,2,1.0
"Operating profit totaled EUR 9.4 mn , down from EUR 11.7 mn in 2004 .",negative,allagree,1,0,1.0
"The firm 's UK head office is in Rugby Road , Lutterworth .",neutral,allagree,1,1,1.0
"`` The Intel Atom processor has had tremendous success in the marketplace since its launch over 2 years ago , '' said Pankaj Kedia , director of global ecosystem programs for Intel Corp. 's Ultra Mobility Group .",positive,75agree,2,2,0.7
"This implementation is very important to the operator , since it is about to launch its Fixed-to-Mobile convergence service in Brazil see Brazil : 8 May 2006 : .",neutral,allagree,1,1,1.0
"The stock is trading above both its MAPs and the 50-day MAP of SEK72 .983 is higher than the 200-day MAP of SEK70 .283 , a bullish indicator .",positive,allagree,1,2,1.0
"The add-on order contains , among others , control valves and instrumentation as well as complete mill engineering and electrification with Metso drive controls .",neutral,allagree,1,1,1.0
"Body ES Vostok also owns stakes in power sales companies MosenergosbytBody ( RTS : MSSB ) ( 50.9 % ) , Altaienergosbyt ( 100 % ) , Saratovenergo ( RTS : SARE ) Body ( 48.36 % ) and Tambov Power Sales Company ( RTS : TASB ) ( 49.01 % ) , all ofBodywhich it received from the distribution balance .",neutral,75agree,2,1,0.7
"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",positive,allagree,1,2,1.0
Otherwise the situation is under control .,neutral,allagree,1,1,1.0
"A In August 2007 , Latvijas Finieris ordered all production lines for a new green veneer mill to be built in Ukmerge , central Lithuania .",neutral,75agree,2,1,0.7
"Both operating profit and net sales for the 12-month period increased , respectively from EUR4 .7 m and EUR26 .7 m , as compared to 2004 .",positive,allagree,1,2,1.0
"Lead production , in turn , should increase to 60,000 tonnes through 2009 in what would be a twofold increase from current capacity levels , Zahariev said .",positive,75agree,2,2,0.7
"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 .",negative,allagree,1,0,1.0
Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 .,negative,allagree,1,0,1.0
"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",neutral,allagree,1,1,1.0
The agreement includes the entire process of managing Mercator 's supply chain in all regions where the company is currently present .,neutral,allagree,1,1,1.0
"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",positive,allagree,1,2,1.0
The amending of the proposal simplifies the proposed plan and increases the incentive for key employees to stay in the Company .,positive,75agree,2,2,0.7
"The contract incorporates a Convergent Charging rating solution for voice and data , which includes Internet , GPRS , SMS , MMS and WAP .",neutral,allagree,1,1,1.0
"Technopolis has set aside a plot of land measuring 4.6 hectares to build the park , Mikkonen said .",neutral,75agree,2,1,0.7
"The price of raw material aluminium went up at the end of 2005 , but the company considers its outlook for 2006 favourable .",positive,allagree,1,2,1.0
Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 .,negative,allagree,1,0,1.0
"The second variant offers complete final finishing of any selected apartment with foreign high quality materials ( Finland , Denmark , Germany , France ) .",neutral,allagree,1,1,1.0
At CapMan Haavisto will be responsible for Group Finances and Accounting and IT .,neutral,allagree,1,1,1.0
"Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 .",positive,allagree,1,2,1.0
"Operating result for the 12-month period decreased from the profit of EUR0 .4 m while turnover decreased from EUR5 .6 m , as compared to 2004 .",negative,allagree,1,0,1.0
"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",positive,75agree,2,2,0.7
"ALEXANDRIA , Va. , March 28 -- Pertti Salmi and Hanna Vuolteenaho , both of Oulu , Finland , and Sami Viitasaari of Ii , Finland , have developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",neutral,75agree,2,1,0.7
"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .",negative,allagree,1,0,1.0
Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),positive,allagree,1,2,1.0
TeliaSonera said about $ 100 million will be invested in the next year in the region to bring mobile coverage to about 90 % of Nepal s population .,positive,75agree,2,2,0.7
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,positive,allagree,1,2,1.0
"After the split , the number of K shares will be 9 540 000 and the number of A shares 26 885 540 .",neutral,allagree,1,1,1.0
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,75agree,2,2,0.7
"The flagship will open this fall in Manhattan 's Flatiron District in the `` Toy Building , '' at 200 Fifth Avenue .",neutral,allagree,1,1,1.0
"The total delivery volume of paper businesses in 2010 was 1,155,000 tonnes , up from 1,132,000 tonnes in 2009 .",positive,allagree,1,2,1.0
"Mika Stahlberg , VP F-Secure Labs , said , `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year .",positive,allagree,1,2,1.0
Exports grew 16.5 percent to 19.1 million liters .,positive,allagree,1,2,1.0
"Finnish drug distributor and wholesaler Oriola-KD Oyj said on October 11 , 2006 it named Anne Kariniemi vice president of its Logistics and Sourcing department as of January 15 , 2007 .",neutral,allagree,1,1,1.0
Pharmaceuticals - Netherlands This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Netherlands .,neutral,75agree,2,1,0.7
Finnish Vacon has signed significant deals with Norwegian Scandinavian Electric Systems ( SES ) on the supply of AC drives .,positive,allagree,1,2,1.0
"Loudeye Corp. , up $ 2.56 at $ 4.33 Nokia Corp. , down 10 cents at $ 19.46 Nokia agreed to buy the digital music distributor for $ 60 million .",neutral,75agree,2,1,0.7
Loss after taxes amounted to EUR 1.2 mn compared to a loss of 2.6 mn .,positive,75agree,2,2,0.7
"LKAB , headquartered in Lulea , Sweden , is a high-tech mining company producing upgraded iron ore products for the steel industry .",neutral,allagree,1,1,1.0
Rubin says he expects Capman to announce 1-2 additional transactions in 2009 .,neutral,allagree,1,1,1.0
"In Penttil+ 's vision , the most important reason for the transaction is Russia .",neutral,allagree,1,1,1.0
"The Finnish government announced Wednesday that it sold a 32 percent stake in chemicals and fertilizer group Kemira Oyj for (  x20ac ) 655.6 million ( $ 890US million ) , sending the company 's share price up 6 percent .",positive,allagree,1,2,1.0
The ship unloader is totally enclosed along the entire conveying line to the storage facilities .,neutral,allagree,1,1,1.0
"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",negative,allagree,1,0,1.0
"The contract consists of a new building with an area of 18,000 sq m and renovation of the existing buildings .",neutral,75agree,2,1,0.7
Rapala aims to move the distribution unit Ragot from Loudeac in Bretagne and the distribution unit Waterqueen and the fishing line supplier Tortue from Saint Marcel in Central France to Morvillars .,neutral,allagree,1,1,1.0
